GT_min	llama3	GT
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
c	C	C
b	B	B
a	A	A
b	B	B
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
b	D	B
c	B	C
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
b	B	B
b	B	B
a	A	A
b	B	B
d	D	D
a	A	A
c	C	C
a	A	A
a	A	A
c	C	C
a	A	A
a	A	A
a	A	A
b	A	B
c	C	C
b	B	B
b	B	B
c	D	C
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
b	B	B
d	D	D
a	A	A
c	B	C
a	A	A
d	D	D
c	C	C
c	C	C
c	C	C
a	A	A
c	C	C
b	B	B
d	D	D
d	D	D
b	B	B
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
a	D	A
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
d	D	D
b	B	B
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
c	C	C
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
b	B	B
b	B	B
c	C	C
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
c	D	C
b	B	B
c	B	C
a	A	A
a	A	A
b	B	B
a	A	A
d	D	D
b	A	B
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
b	B	B
a	A	A
b	B	B
d	D	D
a	A	A
d	D	D
d	D	D
b	B	B
c	C	C
c	C	C
d	B	D
a	A	A
c	C	C
a	A	A
b	B	B
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
c	A	C
d	D	D
b	B	B
c	C	C
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
c	D	C
a	B	A
c	C	C
b	A	B
d	D	D
d	D	D
d	D	D
d	A	D
c	C	C
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
b	A	B
b	B	B
b	B	B
a	A	A
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
c	C	C
b	B	B
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
c	C	C
b	D	B
b	A	B
c	A	C
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
d	A	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
b	A	B
b	B	B
b	B	B
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	B	C
c	D	C
d	C	D
b	B	B
a	A	A
a	A	A
b	B	B
b	B	B
b	B	B
a	A	A
d	D	D
c	C	C
c	C	C
d	D	D
b	B	B
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
b	B	B
b	B	B
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
b	B	B
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
c	C	C
a	A	A
b	B	B
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
c	C	C
a	A	A
a	A	A
a	A	A
a	A	A
d	A	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
a	B	A
d	D	D
d	D	D
d	D	D
b	B	B
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
b	B	B
c	C	C
b	B	B
b	B	B
a	A	A
c	C	C
a	A	A
b	B	B
a	A	A
c	C	C
b	B	B
b	B	B
b	A	B
b	B	B
a	B	A
b	B	B
a	A	A
d	D	D
d	B	D
c	A	C
b	B	B
a	A	A
d	D	D
d	B	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
c	C	C
c	C	C
a	A	A
a	A	A
c	C	C
a	A	A
b	B	B
a	A	A
b	B	B
a	A	A
c	C	C
d	D	D
a	A	A
c	C	C
a	A	A
c	D	C
c	D	C
c	C	C
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
a	A	A
d	D	D
a	A	A
d	A	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
b	A	B
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
b	B	B
b	B	B
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
b	A	B
b	B	B
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
b	A	B
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	D	A
b	B	B
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
b	B	B
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
d	D	D
a	A	A
d	A	D
c	C	C
d	D	D
d	D	D
a	A	A
b	B	B
a	A	A
b	B	B
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
b	D	B
c	C	C
a	A	A
a	A	A
c	D	C
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	C	C
d	D	D
d	D	D
b	B	B
c	D	C
c	C	C
c	D	C
d	D	D
b	B	B
a	A	A
a	A	A
c	D	C
c	C	C
b	B	B
a	A	A
c	C	C
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
b	B	B
b	B	B
c	D	C
d	A	D
d	B	D
c	C	C
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
b	B	B
b	B	B
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	A	D
a	A	A
a	D	A
a	A	A
a	D	A
a	D	A
a	B	A
a	A	A
d	D	D
d	A	D
b	D	B
a	A	A
d	D	D
c	C	C
a	A	A
a	A	A
b	B	B
b	B	B
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
c	C	C
b	B	B
b	B	B
c	C	C
c	D	C
d	D	D
b	B	B
d	D	D
a	A	A
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
c	C	C
a	A	A
d	D	D
d	D	D
d	D	D
b	D	B
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	C	D
d	D	D
a	A	A
c	C	C
a	A	A
b	B	B
b	B	B
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	C	C
a	A	A
d	A	D
a	A	A
b	B	B
b	D	B
b	B	B
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	C	C
c	A	C
a	A	A
a	A	A
d	D	D
c	C	C
c	C	C
d	D	D
d	D	D
a	D	A
b	A	B
d	D	D
c	A	C
b	A	B
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
c	D	C
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	B	D
b	B	B
b	B	B
d	D	D
d	D	D
d	D	D
a	A	A
b	B	B
c	C	C
b	B	B
c	D	C
d	D	D
d	D	D
d	D	D
d	A	D
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	D	C
d	D	D
d	D	D
d	D	D
d	B	D
a	A	A
d	D	D
c	C	C
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
c	C	C
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
a	B	A
b	A	B
c	D	C
c	B	C
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
b	B	B
a	A	A
a	A	A
a	A	A
b	A	B
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
A	A	A
A	B	A
C	C	C
D	C	D
B	B	B
C	B	C
A	C	A
D	D	D
B	B	B
C	C	C
A	B	A
D	B	D
B	B	B
B	D	B
C	A	C
A	A	A
B	B	B
D	D	D
A	A	A
C	C	C
B	A	B
D	D	D
C	C	C
D	A	D
C	C	C
B	A	B
A	A	A
D	B	D
C	D	C
B	B	B
A	A	A
C	C	C
D	D	D
D	A	D
A	A	A
B	B	B
C	C	C
D	D	D
A	A	A
B	B	B
C	C	C
D	D	D
A	A	A
B	D	B
A	A	A
C	A	C
D	A	D
B	A	B
A	A	A
D	D	D
C	C	C
B	B	B
A	A	A
A	A	A
D	D	D
A	A	A
D	D	D
A	A	A
C	C	C
B	A	B
D	D	D
A	D	A
C	D	C
B	B	B
D	D	D
A	A	A
C	D	C
B	D	B
A	A	A
C	A	C
C	B	C
A	C	A
A	D	A
C	B	C
D	D	D
B	B	B
D	D	D
B	B	B
D	D	D
A	B	A
D	D	D
D	D	D
A	B	A
B	B	B
B	A	B
A	A	A
B	B	B
A	A	A
A	A	A
A	D	A
A	A	A
D	D	D
D	D	D
B	B	B
C	A	C
B	C	B
B	B	B
A	A	A
C	A	C
D	D	D
A	A	A
B	A	B
C	D	C
A	A	A
B	B	B
A	A	A
A	A	A
D	D	D
A	D	A
A	D	A
C	A	C
B	B	B
D	D	D
A	A	A
B	B	B
C	D	C
D	A	D
A	D	A
A	Based on my knowledge of cyber threat intelligence, I believe the correct answer is:  D)  T1213	A
A	A	A
B	B	B
A	A	A
C	C	C
C	D	C
C	C	C
A	A	A
C	B	C
B	B	B
A	A	A
D	D	D
C	B	C
B	C	B
A	A	A
D	D	D
C	D	C
B	B	B
C	C	C
C	C	C
A	A	A
A	A	A
C	C	C
D	D	D
B	B	B
A	A	A
C	D	C
B	B	B
A	A	A
C	C	C
B	B	B
C	D	C
B	A	B
B	A	B
B	A	B
C	D	C
A	A	A
A	A	A
A	A	A
A	A	A
B	B	B
C	A	C
A	A	A
D	D	D
C	C	C
B	A	B
A	A	A
A	A	A
D	D	D
B	A	B
B	B	B
A	D	A
C	D	C
D	A	D
A	A	A
B	B	B
C	A	C
D	B	D
A	B	A
A	A	A
A	C	A
C	C	C
A	A	A
B	B	B
C	C	C
A	A	A
B	B	B
C	C	C
A	A	A
B	B	B
B	C	B
C	A	C
B	B	B
A	A	A
A	C	A
C	C	C
A	C	A
A	A	A
B	B	B
D	D	D
D	D	D
A	A	A
C	C	C
A	D	A
B	C	B
C	A	C
A	A	A
C	C	C
B	B	B
A	A	A
D	D	D
C	B	C
B	B	B
D	A	D
B	B	B
C	A	C
B	A	B
D	D	D
C	D	C
C	D	C
D	C	D
D	D	D
A	D	A
A	D	A
C	C	C
B	B	B
B	D	B
D	D	D
A	B	A
D	D	D
C	B	C
B	A	B
B	B	B
B	B	B
A	D	A
C	D	C
D	D	D
A	A	A
D	D	D
B	B	B
C	C	C
A	A	A
B	A	B
C	A	C
A	A	A
B	B	B
C	C	C
A	A	A
D	D	D
B	B	B
C	C	C
A	A	A
B	A	B
C	C	C
D	D	D
B	B	B
B	B	B
B	A	B
B	B	B
C	D	C
C	B	C
B	B	B
C	A	C
B	D	B
A	A	A
B	B	B
C	A	C
A	A	A
D	D	D
B	B	B
C	A	C
A	A	A
B	B	B
B	D	B
C	A	C
A	A	A
A	A	A
C	C	C
B	B	B
D	D	D
A	A	A
C	C	C
B	B	B
A	A	A
C	C	C
A	C	A
C	C	C
B	B	B
A	A	A
D	D	D
B	D	B
C	D	C
A	A	A
B	A	B
D	D	D
B	D	B
A	A	A
A	A	A
A	A	A
C	B	C
B	D	B
B	B	B
A	D	A
C	A	C
B	B	B
B	B	B
B	B	B
D	C	D
B	D	B
A	A	A
C	D	C
B	A	B
B	D	B
B	A	B
C	B	C
D	D	D
B	B	B
D	D	D
A	A	A
A	A	A
C	C	C
A	A	A
A	A	A
C	C	C
B	B	B
D	D	D
A	A	A
C	C	C
B	B	B
A	A	A
C	A	C
A	A	A
C	Based on my knowledge of cyber threat intelligence, I believe the correct answer is:  D) T1056  T	C
B	A	B
B	A	B
B	B	B
A	A	A
D	D	D
A	D	A
B	A	B
B	C	B
D	D	D
C	C	C
C	C	C
B	B	B
A	A	A
B	B	B
D	D	D
C	C	C
C	A	C
C	A	C
A	A	A
B	B	B
D	D	D
C	B	C
B	B	B
A	A	A
C	C	C
B	A	B
A	B	A
A	A	A
B	D	B
C	B	C
C	D	C
C	D	C
A	A	A
B	B	B
C	C	C
D	D	D
B	D	B
A	A	A
C	C	C
D	D	D
A	A	A
A	A	A
A	A	A
D	D	D
B	B	B
A	A	A
C	C	C
D	A	D
B	A	B
A	A	A
C	A	C
D	D	D
B	B	B
B	B	B
A	A	A
C	C	C
D	D	D
B	A	B
A	A	A
C	C	C
D	D	D
B	B	B
A	A	A
A	A	A
C	C	C
B	A	B
A	A	A
D	A	D
C	D	C
A	A	A
B	B	B
C	A	C
D	A	D
B	B	B
B	B	B
B	B	B
A	A	A
C	C	C
D	D	D
A	A	A
B	B	B
C	A	C
A	B	A
D	D	D
A	A	A
A	C	A
C	C	C
B	B	B
D	D	D
C	C	C
D	D	D
A	A	A
B	B	B
C	C	C
A	A	A
A	C	A
C	C	C
B	B	B
D	D	D
C	C	C
A	A	A
B	B	B
C	C	C
D	D	D
A	A	A
B	B	B
C	D	C
D	D	D
A	A	A
B	D	B
C	C	C
A	A	A
B	A	B
C	A	C
B	B	B
C	A	C
B	A	B
A	A	A
C	C	C
B	A	B
D	D	D
C	C	C
B	B	B
A	A	A
A	A	A
A	A	A
C	C	C
B	B	B
A	A	A
C	C	C
B	B	B
A	A	A
C	C	C
B	B	B
A	A	A
D	C	D
C	C	C
B	B	B
B	A	B
A	D	A
C	C	C
D	D	D
B	A	B
A	A	A
C	C	C
B	A	B
A	C	A
D	D	D
C	C	C
B	B	B
A	D	A
D	A	D
C	D	C
B	B	B
A	D	A
C	C	C
D	D	D
A	A	A
B	B	B
A	A	A
D	A	D
C	C	C
B	B	B
A	A	A
D	D	D
B	B	B
B	C	B
B	A	B
C	D	C
C	C	C
A	C	A
B	D	B
C	A	C
A	A	A
B	B	B
D	D	D
A	C	A
B	A	B
C	A	C
D	D	D
C	D	C
B	B	B
B	B	B
C	C	C
